Search_Parm,Resource,Search_Pram_Type,Expression
version,PlanDefinition,token,PlanDefinition.version
version,Questionnaire,token,Questionnaire.version
version,Requirements,token,Requirements.version
version,SearchParameter,token,SearchParameter.version
version,StructureDefinition,token,StructureDefinition.version
version,StructureMap,token,StructureMap.version
version,SubscriptionTopic,token,SubscriptionTopic.version
version,TerminologyCapabilities,token,TerminologyCapabilities.version
version,TestPlan,token,TestPlan.version
version,TestScript,token,TestScript.version
version,ValueSet,token,ValueSet.version
context-type-quantity,ActivityDefinition,composite,ActivityDefinition.useContext
context-type-quantity,ActorDefinition,composite,ActorDefinition.useContext
context-type-quantity,CapabilityStatement,composite,CapabilityStatement.useContext
context-type-quantity,ChargeItemDefinition,composite,ChargeItemDefinition.useContext
context-type-quantity,Citation,composite,Citation.useContext
context-type-quantity,CodeSystem,composite,CodeSystem.useContext
context-type-quantity,CompartmentDefinition,composite,CompartmentDefinition.useContext
context-type-quantity,ConceptMap,composite,ConceptMap.useContext
context-type-quantity,ConditionDefinition,composite,ConditionDefinition.useContext
context-type-quantity,EventDefinition,composite,EventDefinition.useContext
context-type-quantity,Evidence,composite,Evidence.useContext
context-type-quantity,EvidenceVariable,composite,EvidenceVariable.useContext
context-type-quantity,ExampleScenario,composite,ExampleScenario.useContext
context-type-quantity,GraphDefinition,composite,GraphDefinition.useContext
context-type-quantity,ImplementationGuide,composite,ImplementationGuide.useContext
context-type-quantity,Library,composite,Library.useContext
context-type-quantity,Measure,composite,Measure.useContext
context-type-quantity,MessageDefinition,composite,MessageDefinition.useContext
context-type-quantity,NamingSystem,composite,NamingSystem.useContext
context-type-quantity,OperationDefinition,composite,OperationDefinition.useContext
context-type-quantity,PlanDefinition,composite,PlanDefinition.useContext
context-type-quantity,Questionnaire,composite,Questionnaire.useContext
context-type-quantity,Requirements,composite,Requirements.useContext
context-type-quantity,SearchParameter,composite,SearchParameter.useContext
context-type-quantity,StructureDefinition,composite,StructureDefinition.useContext
context-type-quantity,StructureMap,composite,StructureMap.useContext
context-type-quantity,TerminologyCapabilities,composite,TerminologyCapabilities.useContext
context-type-quantity,TestPlan,composite,TestPlan.useContext
context-type-quantity,TestScript,composite,TestScript.useContext
context-type-quantity,ValueSet,composite,ValueSet.useContext
context-type-value,ActivityDefinition,composite,ActivityDefinition.useContext
context-type-value,ActorDefinition,composite,ActorDefinition.useContext
context-type-value,CapabilityStatement,composite,CapabilityStatement.useContext
context-type-value,ChargeItemDefinition,composite,ChargeItemDefinition.useContext
context-type-value,Citation,composite,Citation.useContext
context-type-value,CodeSystem,composite,CodeSystem.useContext
context-type-value,CompartmentDefinition,composite,CompartmentDefinition.useContext
context-type-value,ConceptMap,composite,ConceptMap.useContext
context-type-value,ConditionDefinition,composite,ConditionDefinition.useContext
context-type-value,EventDefinition,composite,EventDefinition.useContext
context-type-value,Evidence,composite,Evidence.useContext
context-type-value,EvidenceVariable,composite,EvidenceVariable.useContext
context-type-value,ExampleScenario,composite,ExampleScenario.useContext
context-type-value,GraphDefinition,composite,GraphDefinition.useContext
context-type-value,ImplementationGuide,composite,ImplementationGuide.useContext
context-type-value,Library,composite,Library.useContext
context-type-value,Measure,composite,Measure.useContext
context-type-value,MessageDefinition,composite,MessageDefinition.useContext
context-type-value,NamingSystem,composite,NamingSystem.useContext
context-type-value,OperationDefinition,composite,OperationDefinition.useContext
context-type-value,PlanDefinition,composite,PlanDefinition.useContext
context-type-value,Questionnaire,composite,Questionnaire.useContext
context-type-value,Requirements,composite,Requirements.useContext
context-type-value,SearchParameter,composite,SearchParameter.useContext
context-type-value,StructureDefinition,composite,StructureDefinition.useContext
context-type-value,StructureMap,composite,StructureMap.useContext
context-type-value,TerminologyCapabilities,composite,TerminologyCapabilities.useContext
context-type-value,TestPlan,composite,TestPlan.useContext
context-type-value,TestScript,composite,TestScript.useContext
context-type-value,ValueSet,composite,ValueSet.useContext
type,ActorDefinition,token,ActorDefinition.type
device,AdministrableProductDefinition,reference,AdministrableProductDefinition.device
dose-form,AdministrableProductDefinition,token,AdministrableProductDefinition.administrableDoseForm
form-of,AdministrableProductDefinition,reference,AdministrableProductDefinition.formOf
identifier,AdministrableProductDefinition,token,AdministrableProductDefinition.identifier
ingredient,AdministrableProductDefinition,token,AdministrableProductDefinition.ingredient
manufactured-item,AdministrableProductDefinition,reference,AdministrableProductDefinition.producedFrom
route,AdministrableProductDefinition,token,AdministrableProductDefinition.routeOfAdministration.code
status,AdministrableProductDefinition,token,AdministrableProductDefinition.status
target-species,AdministrableProductDefinition,token,AdministrableProductDefinition.routeOfAdministration.targetSpecies.code
actuality,AdverseEvent,token,AdverseEvent.actuality
category,AdverseEvent,token,AdverseEvent.category
cause,AdverseEvent,date,AdverseEvent.cause.ofType
code,AdverseEvent,token,AdverseEvent.code
code,AllergyIntolerance,token,AllergyIntolerance.code
code,Basic,token,AllergyIntolerance.reaction.substance
code,ChargeItem,token,Basic.code
code,Condition,token,ChargeItem.code
code,DetectedIssue,token,Condition.code
code,DeviceRequest,token,DetectedIssue.code
code,DiagnosticReport,token,DeviceRequest.code.concept
code,FamilyMemberHistory,token,DiagnosticReport.code
code,ImagingSelection,token,FamilyMemberHistory.condition.code
code,List,token,ImagingSelection.code
code,Medication,token,List.code
code,MedicationAdministration,token,Medication.code
code,MedicationDispense,token,MedicationAdministration.medication.concept
code,MedicationRequest,token,MedicationDispense.medication.concept
code,MedicationStatement,token,MedicationRequest.medication.concept
code,NutritionIntake,token,MedicationStatement.medication.concept
code,Observation,token,NutritionIntake.code
code,Procedure,token,Observation.code
code,RequestOrchestration,token,Procedure.code
code,Task,token,RequestOrchestration.code
effect,AdverseEvent,date,AdverseEvent.effect.ofType
location,AdverseEvent,reference,AdverseEvent.location
recorder,AdverseEvent,reference,AdverseEvent.recorder
resultingeffect-code,AdverseEvent,token,AdverseEvent.resultingEffect.concept
resultingeffect-reference,AdverseEvent,reference,AdverseEvent.resultingEffect.reference
seriousness,AdverseEvent,token,AdverseEvent.seriousness
status,AdverseEvent,token,AdverseEvent.status
study,AdverseEvent,reference,AdverseEvent.study
subject,AdverseEvent,reference,AdverseEvent.subject
substance,AdverseEvent,reference,AdverseEvent.suspectEntity.instance.reference
asserter,AllergyIntolerance,reference,AllergyIntolerance.asserter
category,AllergyIntolerance,token,AllergyIntolerance.category
clinical-status,AllergyIntolerance,token,AllergyIntolerance.clinicalStatus
criticality,AllergyIntolerance,token,AllergyIntolerance.criticality
date,AllergyIntolerance,date,AllergyIntolerance.recordedDate
date,Appointment,date,
date,AuditEvent,date,requestedPeriod.start).first
date,CarePlan,date,AuditEvent.recorded
date,CareTeam,date,CarePlan.period
date,Composition,date,Composition.date
date,Consent,date,Consent.date
date,DiagnosticReport,date,DiagnosticReport.effective.ofType
date,DocumentReference,date,DiagnosticReport.effective.ofType
date,Encounter,date,DocumentReference.date
date,EpisodeOfCare,date,Encounter.actualPeriod
date,FamilyMemberHistory,date,EpisodeOfCare.period
date,Flag,date,FamilyMemberHistory.date
date,Immunization,date,Flag.period
date,ImmunizationEvaluation,date,
date,ImmunizationRecommendation,date,ImmunizationEvaluation.date
date,Invoice,date,ImmunizationRecommendation.date
date,List,date,Invoice.date
date,MeasureReport,date,List.date
date,NutritionIntake,date,MeasureReport.date
date,Observation,date,NutritionIntake.occurrence.ofType
date,Procedure,date,NutritionIntake.occurrence.ofType
date,ResearchSubject,date,Observation.effective.ofType
date,RiskAssessment,date,Observation.effective.ofType
date,SupplyRequest,date,Observation.effective.ofType
last-reaction-date,AllergyIntolerance,date,AllergyIntolerance.lastReactionOccurrence
manifestation-code,AllergyIntolerance,token,AllergyIntolerance.reaction.manifestation.concept
manifestation-reference,AllergyIntolerance,reference,AllergyIntolerance.reaction.manifestation.reference
route,AllergyIntolerance,token,AllergyIntolerance.reaction.exposureRoute
severity,AllergyIntolerance,token,AllergyIntolerance.reaction.severity
verification-status,AllergyIntolerance,token,AllergyIntolerance.verificationStatus
actor,Appointment,reference,Appointment.participant.actor
appointment-type,Appointment,token,Appointment.appointmentType
based-on,Appointment,reference,Appointment.basedOn
group,Appointment,reference,Appointment.participant.actor.where
has-recurrence-template,Appointment,token,Appointment.recurrenceTemplate.exists
is-recurring,Appointment,token,Appointment.recurrenceTemplate.exists
location,Appointment,reference,Appointment.participant.actor.where
occurrence-changed,Appointment,token,Appointment.occurrenceChanged
originating-appointment,Appointment,reference,Appointment.originatingAppointment
part-status,Appointment,token,Appointment.participant.status
practitioner,Appointment,reference,Appointment.participant.actor.where
previous-appointment,Appointment,reference,Appointment.previousAppointment
reason-code,Appointment,token,Appointment.reason.concept
reason-reference,Appointment,reference,Appointment.reason.reference
requested-period,Appointment,date,requestedPeriod
service-category,Appointment,token,Appointment.serviceCategory
service-type,Appointment,token,Appointment.serviceType.concept
service-type-reference,Appointment,reference,Appointment.serviceType.reference
slot,Appointment,reference,Appointment.slot
specialty,Appointment,token,Appointment.specialty
status,Appointment,token,Appointment.status
subject,Appointment,reference,Appointment.subject
supporting-info,Appointment,reference,Appointment.supportingInformation
actor,AppointmentResponse,reference,AppointmentResponse.actor
appointment,AppointmentResponse,reference,AppointmentResponse.appointment
group,AppointmentResponse,reference,AppointmentResponse.actor.where
location,AppointmentResponse,reference,AppointmentResponse.actor.where
part-status,AppointmentResponse,token,AppointmentResponse.participantStatus
practitioner,AppointmentResponse,reference,AppointmentResponse.actor.where
date,ArtifactAssessment,date,ArtifactAssessment.date
identifier,ArtifactAssessment,token,ArtifactAssessment.identifier
action,AuditEvent,token,AuditEvent.action
agent,AuditEvent,reference,AuditEvent.agent.who
agent-role,AuditEvent,token,AuditEvent.agent.role
based-on,AuditEvent,reference,AuditEvent.basedOn
encounter,AuditEvent,reference,AuditEvent.encounter
encounter,CarePlan,reference,CarePlan.encounter
encounter,ChargeItem,reference,ChargeItem.encounter
encounter,Claim,reference,Claim.item.encounter
encounter,Communication,reference,Communication.encounter
encounter,CommunicationRequest,reference,CommunicationRequest.encounter
encounter,Composition,reference,Composition.encounter
encounter,Condition,reference,Condition.encounter
encounter,DeviceRequest,reference,DeviceRequest.encounter
encounter,DiagnosticReport,reference,DiagnosticReport.encounter
encounter,EncounterHistory,reference,EncounterHistory.encounter
encounter,ExplanationOfBenefit,reference,ExplanationOfBenefit.item.encounter
encounter,Flag,reference,Flag.encounter
encounter,ImagingStudy,reference,ImagingStudy.encounter
encounter,List,reference,List.encounter
encounter,MedicationDispense,reference,MedicationDispense.encounter
encounter,MedicationStatement,reference,MedicationStatement.encounter
encounter,NutritionIntake,reference,NutritionIntake.encounter
encounter,NutritionOrder,reference,NutritionOrder.encounter
encounter,Observation,reference,Observation.encounter
encounter,Procedure,reference,Procedure.encounter
encounter,Provenance,reference,Provenance.encounter
encounter,QuestionnaireResponse,reference,QuestionnaireResponse.encounter
encounter,RequestOrchestration,reference,RequestOrchestration.encounter
encounter,RiskAssessment,reference,RiskAssessment.encounter
encounter,ServiceRequest,reference,ServiceRequest.encounter
encounter,Task,reference,Task.encounter
encounter,VisionPrescription,reference,VisionPrescription.encounter
entity,AuditEvent,reference,AuditEvent.entity.what
entity-desc,AuditEvent,string,AuditEvent.entity.description
entity-role,AuditEvent,token,AuditEvent.entity.role
outcome,AuditEvent,token,AuditEvent.outcome.code
policy,AuditEvent,uri,AuditEvent.agent.policy
purpose,AuditEvent,token,AuditEvent.authorization 
source,AuditEvent,reference,AuditEvent.source.observer
subtype,AuditEvent,token,AuditEvent.subtype
type,AuditEvent,token,AuditEvent.type
author,Basic,reference,Basic.author
created,Basic,date,Basic.created
subject,Basic,reference,Basic.subject
biological-source-event,BiologicallyDerivedProduct,token,BiologicallyDerivedProduct.biologicalSourceEvent
code,BiologicallyDerivedProduct,token,BiologicallyDerivedProduct.productCode
collector,BiologicallyDerivedProduct,reference,BiologicallyDerivedProduct.collection.collector
parent,BiologicallyDerivedProduct,reference,BiologicallyDerivedProduct.parent
product-category,BiologicallyDerivedProduct,token,BiologicallyDerivedProduct.productCategory
product-status,BiologicallyDerivedProduct,token,BiologicallyDerivedProduct.productStatus
request,BiologicallyDerivedProduct,reference,BiologicallyDerivedProduct.request
serial-number,BiologicallyDerivedProduct,token,BiologicallyDerivedProduct.identifier
source,BiologicallyDerivedProduct,reference,BiologicallyDerivedProduct.collection.source
based-on,BiologicallyDerivedProductDispense,reference,BiologicallyDerivedProductDispense.basedOn
part-of,BiologicallyDerivedProductDispense,reference,BiologicallyDerivedProductDispense.partOf
performer,BiologicallyDerivedProductDispense,reference,BiologicallyDerivedProductDispense.performer.actor
product,BiologicallyDerivedProductDispense,reference,BiologicallyDerivedProductDispense.product
status,BiologicallyDerivedProductDispense,token,BiologicallyDerivedProductDispense.status
subject,BiologicallyDerivedProductDispense,reference,BiologicallyDerivedProductDispense.subject
excluded_structure,BodyStructure,token,BodyStructure.excludedStructure.structure
included_structure,BodyStructure,token,BodyStructure.includedStructure.structure
morphology,BodyStructure,token,BodyStructure.morphology
composition,Bundle,resource,Bundle.entry[0].resource as Composition
identifier,Bundle,token,Bundle.identifier
message,Bundle,resource,Bundle.entry[0].resource as MessageHeader
timestamp,Bundle,date,Bundle.timestamp
type,Bundle,token,Bundle.type
fhirversion,CapabilityStatement,token,CapabilityStatement.fhirVersion
format,CapabilityStatement,token,CapabilityStatement.format
guide,CapabilityStatement,reference,CapabilityStatement.implementationGuide
mode,CapabilityStatement,token,CapabilityStatement.rest.mode
resource,CapabilityStatement,token,CapabilityStatement.rest.resource.type
resource-profile,CapabilityStatement,reference,CapabilityStatement.rest.resource.profile
security-service,CapabilityStatement,token,CapabilityStatement.rest.security.service
software,CapabilityStatement,string,CapabilityStatement.software.name
supported-profile,CapabilityStatement,reference,CapabilityStatement.rest.resource.supportedProfile
activity-reference,CarePlan,reference,CarePlan.activity.plannedActivityReference
based-on,CarePlan,reference,CarePlan.basedOn
care-team,CarePlan,reference,CarePlan.careTeam
category,CarePlan,token,CarePlan.category
condition,CarePlan,reference,CarePlan.addresses.reference
custodian,CarePlan,reference,CarePlan.custodian
goal,CarePlan,reference,CarePlan.goal
intent,CarePlan,token,CarePlan.intent
part-of,CarePlan,reference,CarePlan.partOf
replaces,CarePlan,reference,CarePlan.replaces
status,CarePlan,token,CarePlan.status
subject,CarePlan,reference,CarePlan.subject
category,CareTeam,token,CareTeam.category
name,CareTeam,string,CareTeam.name 
participant,CareTeam,reference,CareTeam.participant.member
status,CareTeam,token,CareTeam.status
subject,CareTeam,reference,CareTeam.subject
account,ChargeItem,reference,ChargeItem.account
entered-date,ChargeItem,date,ChargeItem.enteredDate
enterer,ChargeItem,reference,ChargeItem.enterer
factor-override,ChargeItem,number,ChargeItem.totalPriceComponent.factor
occurrence,ChargeItem,date,ChargeItem.occurrence.ofType
performer-actor,ChargeItem,reference,ChargeItem.performer.actor
performer-function,ChargeItem,token,ChargeItem.performer.function
performing-organization,ChargeItem,reference,ChargeItem.performingOrganization
price-override,ChargeItem,quantity,ChargeItem.totalPriceComponent.amount
quantity,ChargeItem,quantity,ChargeItem.quantity
requesting-organization,ChargeItem,reference,ChargeItem.requestingOrganization
service,ChargeItem,reference,ChargeItem.service.reference
status,ChargeItem,token,ChargeItem.status
subject,ChargeItem,reference,ChargeItem.subject
account,ChargeItemDefinition,reference,ChargeItemDefinition.account
classification-type,Citation,token,
classifier,Citation,token,
classification,Citation,composite,Citation.classification
care-team,Claim,reference,Claim.careTeam.provider
created,Claim,date,Claim.created
detail-udi,Claim,reference,Claim.item.detail.udi
enterer,Claim,reference,Claim.enterer
facility,Claim,reference,Claim.facility
insurer,Claim,reference,Claim.insurer
item-udi,Claim,reference,Claim.item.udi
payee,Claim,reference,Claim.payee.party
priority,Claim,token,Claim.priority
procedure-udi,Claim,reference,Claim.procedure.udi
provider,Claim,reference,Claim.provider
status,Claim,token,Claim.status
subdetail-udi,Claim,reference,Claim.item.detail.subDetail.udi
use,Claim,token,Claim.use
created,ClaimResponse,date,ClaimResponse.created
disposition,ClaimResponse,string,ClaimResponse.disposition
insurer,ClaimResponse,reference,ClaimResponse.insurer
outcome,ClaimResponse,token,ClaimResponse.outcome
payment-date,ClaimResponse,date,ClaimResponse.payment.date
request,ClaimResponse,reference,ClaimResponse.request
requestor,ClaimResponse,reference,ClaimResponse.requestor
status,ClaimResponse,token,ClaimResponse.status
use,ClaimResponse,token,ClaimResponse.use
date,Resource,date,ClinicalAssessment.date
encounter,Resource,reference,ClinicalAssessment.encounter
finding-code,Resource,token,ClinicalAssessment.finding.item.concept
finding-ref,Resource,reference,ClinicalAssessment.finding.item.reference
identifier,Resource,token,ClinicalAssessment.identifier
patient,Resource,reference,ClinicalAssessment.subject.where
performer,Resource,reference,ClinicalAssessment.performer
previous,Resource,reference,ClinicalAssessment.previous
problem,Resource,reference,ClinicalAssessment.problem
status,Resource,token,ClinicalAssessment.status
subject,Resource,reference,ClinicalAssessment.subject
supporting-info,Resource,reference,ClinicalAssessment.supportingInfo
contraindication,ClinicalUseDefinition,token,ClinicalUseDefinition.contraindication.diseaseSymptomProcedure.concept
contraindication-reference,ClinicalUseDefinition,reference,ClinicalUseDefinition.contraindication.diseaseSymptomProcedure.reference
effect,ClinicalUseDefinition,token,ClinicalUseDefinition.undesirableEffect.symptomConditionEffect.concept
effect-reference,ClinicalUseDefinition,reference,ClinicalUseDefinition.undesirableEffect.symptomConditionEffect.reference
identifier,ClinicalUseDefinition,token,ClinicalUseDefinition.identifier
indication,ClinicalUseDefinition,token,ClinicalUseDefinition.indication.diseaseSymptomProcedure.concept
indication-reference,ClinicalUseDefinition,reference,ClinicalUseDefinition.indication.diseaseSymptomProcedure.reference
interaction,ClinicalUseDefinition,token,ClinicalUseDefinition.interaction.type
product,ClinicalUseDefinition,reference,ClinicalUseDefinition.subject.reference.where
status,ClinicalUseDefinition,token,ClinicalUseDefinition.status
subject,ClinicalUseDefinition,reference,ClinicalUseDefinition.subject.reference
subject-code,ClinicalUseDefinition,token,ClinicalUseDefinition.subject.concept
type,ClinicalUseDefinition,token,ClinicalUseDefinition.type
code,CodeSystem,token,CodeSystem.concept.code
content-mode,CodeSystem,token,CodeSystem.content
language,CodeSystem,token,CodeSystem.concept.designation.language
supplements,CodeSystem,reference,CodeSystem.supplements
system,CodeSystem,uri,CodeSystem.url
based-on,Communication,reference,Communication.basedOn
category,Communication,token,Communication.category
in-response-to,Communication,reference,Communication.inResponseTo
medium,Communication,token,Communication.medium
part-of,Communication,reference,Communication.partOf
reason-code,Communication,token,Communication.reason.concept
reason-reference,Communication,reference,Communication.reason.reference
received,Communication,date,Communication.received
recipient,Communication,reference,Communication.recipient
sender,Communication,reference,Communication.sender
sent,Communication,date,Communication.sent
status,Communication,token,Communication.status
subject,Communication,reference,Communication.subject
topic,Communication,token,Communication.topic
about,CommunicationRequest,reference,CommunicationRequest.about
authored,CommunicationRequest,date,CommunicationRequest.authoredOn
based-on,CommunicationRequest,reference,CommunicationRequest.basedOn
category,CommunicationRequest,token,CommunicationRequest.category
group-identifier,CommunicationRequest,token,CommunicationRequest.groupIdentifier
information-provider,CommunicationRequest,reference,CommunicationRequest.informationProvider
medium,CommunicationRequest,token,CommunicationRequest.medium
occurrence,CommunicationRequest,date,CommunicationRequest.occurrence.ofType
priority,CommunicationRequest,token,CommunicationRequest.priority
recipient,CommunicationRequest,reference,CommunicationRequest.recipient
replaces,CommunicationRequest,reference,CommunicationRequest.replaces
requester,CommunicationRequest,reference,CommunicationRequest.requester
status,CommunicationRequest,token,CommunicationRequest.status
subject,CommunicationRequest,reference,CommunicationRequest.subject
code,CompartmentDefinition,token,CompartmentDefinition.code
resource,CompartmentDefinition,token,CompartmentDefinition.resource.code
attester,Composition,reference,Composition.attester.party
author,Composition,reference,Composition.author
category,Composition,token,Composition.category
entry,Composition,reference,Composition.section.entry
event-code,Composition,token,Composition.event.detail.concept
event-reference,Composition,reference,Composition.event.detail.reference
period,Composition,date,Composition.event.period
section,Composition,token,Composition.section.code
section-text,Composition,special,Composition.section.text 
status,Composition,token,Composition.status
subject,Composition,reference,Composition.subject
title,Composition,string,Composition.title
url,Composition,uri,Composition.url
version,Composition,token,Composition.version
section-code-text,Composition,composite,Composition.section
mapping-property,ConceptMap,uri,ConceptMap.property.uri
other-map,ConceptMap,reference,ConceptMap.group.unmapped.otherMap
source-code,ConceptMap,token,ConceptMap.group.element.code
source-group-system,ConceptMap,reference,ConceptMap.group.source
source-scope,ConceptMap,reference,
source-scope-uri,ConceptMap,uri,
target-code,ConceptMap,token,ConceptMap.group.element.target.code
target-group-system,ConceptMap,reference,ConceptMap.group.target
target-scope,ConceptMap,reference,
target-scope-uri,ConceptMap,uri,
abatement-age,Condition,quantity,Condition.abatement.ofType
abatement-date,Condition,date,Condition.abatement.ofType
abatement-string,Condition,string,Condition.abatement.ofType
asserter,Condition,reference,Condition.asserter
body-site,Condition,token,Condition.bodySite
category,Condition,token,Condition.category
clinical-status,Condition,token,Condition.clinicalStatus
evidence,Condition,token,Condition.evidence.concept
evidence-detail,Condition,reference,Condition.evidence.reference
onset-age,Condition,quantity,Condition.onset.ofType
onset-date,Condition,date,Condition.onset.ofType
onset-info,Condition,string,Condition.onset.ofType
recorded-date,Condition,date,Condition.recordedDate
severity,Condition,token,Condition.severity
stage,Condition,token,Condition.stage.summary
subject,Condition,reference,Condition.subject
verification-status,Condition,token,Condition.verificationStatus
action,Consent,token,Consent.provision.code
actor,Consent,reference,Consent.provision.actor.reference
category,Consent,token,Consent.category
controller,Consent,reference,Consent.controller
data,Consent,reference,Consent.provision.data.reference
grantee,Consent,reference,Consent.grantee
manager,Consent,reference,Consent.manager
period,Consent,date,Consent.provision.period
purpose,Consent,token,Consent.provision.purpose
security-label,Consent,token,Consent.provision.securityLabel
source-reference,Consent,reference,Consent.sourceReference
status,Consent,token,Consent.status
subject,Consent,reference,Consent.subject
verified,Consent,token,Consent.verification.verified
verified-date,Consent,date,Consent.verification.verificationDate
authority,Contract,reference,Contract.authority
domain,Contract,reference,Contract.domain
instantiates,Contract,uri,Contract.instantiatesUri
issued,Contract,date,Contract.issued
signer,Contract,reference,Contract.signer.party
status,Contract,token,Contract.status
subject,Contract,reference,Contract.subject
url,Contract,uri,Contract.url
beneficiary,Coverage,reference,Coverage.beneficiary
class-type,Coverage,token,Coverage.class.type
class-value,Coverage,token,Coverage.class.value
dependent,Coverage,string,Coverage.dependent
insurer,Coverage,reference,Coverage.insurer
paymentby-party,Coverage,reference,Coverage.paymentBy.party
policy-holder,Coverage,reference,Coverage.policyHolder
status,Coverage,token,Coverage.status
subscriber,Coverage,reference,Coverage.subscriber
subscriberid,Coverage,token,Coverage.subscriberId
created,CoverageEligibilityRequest,date,CoverageEligibilityRequest.created
enterer,CoverageEligibilityRequest,reference,CoverageEligibilityRequest.enterer
facility,CoverageEligibilityRequest,reference,CoverageEligibilityRequest.facility
provider,CoverageEligibilityRequest,reference,CoverageEligibilityRequest.provider
status,CoverageEligibilityRequest,token,CoverageEligibilityRequest.status
created,CoverageEligibilityResponse,date,CoverageEligibilityResponse.created
disposition,CoverageEligibilityResponse,string,CoverageEligibilityResponse.disposition
insurer,CoverageEligibilityResponse,reference,CoverageEligibilityResponse.insurer
outcome,CoverageEligibilityResponse,token,CoverageEligibilityResponse.outcome
request,CoverageEligibilityResponse,reference,CoverageEligibilityResponse.request
requestor,CoverageEligibilityResponse,reference,CoverageEligibilityResponse.requestor
status,CoverageEligibilityResponse,token,CoverageEligibilityResponse.status
author,DetectedIssue,reference,DetectedIssue.author
category,DetectedIssue,token,DetectedIssue.category
identified,DetectedIssue,date,DetectedIssue.identified.ofType
implicated,DetectedIssue,reference,DetectedIssue.implicated
status,DetectedIssue,token,DetectedIssue.status
subject,DetectedIssue,reference,DetectedIssue.subject
biological-source-event,Device,token,Device.biologicalSourceEvent
code,Device,token,Device.type 
definition,Device,reference,Device.definition
device-name,Device,string,Device.name.value 
expiration-date,Device,date,Device.expirationDate
identifier,Device,token,Device.identifier
location,Device,reference,Device.location
lot-number,Device,string,Device.lotNumber
manufacture-date,Device,date,Device.manufactureDate
manufacturer,Device,string,Device.manufacturer
model,Device,string,Device.modelNumber
parent,Device,reference,Device.parent
serial-number,Device,string,Device.serialNumber 
specification,Device,token,Device.conformsTo.specification
status,Device,token,Device.status
type,Device,token,Device.type 
udi-carrier-hrf,Device,string,Device.udiCarrier.carrierHRF
udi-di,Device,string,Device.udiCarrier.deviceIdentifier
version,Device,string,Device.deviceVersion.value
code-value-concept,Device,composite,Device
specification-version,Device,composite,Device.conformsTo
version-type,Device,composite,Device.deviceVersion
acknowledged,Resource,token,DeviceAlert.acknowledged
annunciator-concept,Resource,token,DeviceAlert.signal.annunciator.concept
annunciator-device,Resource,reference,DeviceAlert.signal.annunciator.reference
category,Resource,token,DeviceAlert.category
code,Resource,token,DeviceAlert.code
derived-from,Resource,reference,DeviceAlert.derivedFrom.observation
device,Resource,reference,DeviceAlert.device
identifier,Resource,token,DeviceAlert.identifier
indication,Resource,date,DeviceAlert.signal.indication
manifestation,Resource,token,DeviceAlert.signal.manifestation
patient,Resource,reference,DeviceAlert.subject.where
period,Resource,date,DeviceAlert.presencePeriod
presence,Resource,token,DeviceAlert.presence
priority,Resource,token,DeviceAlert.priority
signal-presence,Resource,token,DeviceAlert.signal.presence
status,Resource,token,DeviceAlert.status
subject,Resource,reference,DeviceAlert.subject
type,Resource,token,DeviceAlert.type
date,DeviceAssociation,date,DeviceAssociation.period
device,DeviceAssociation,reference,DeviceAssociation.device
identifier,DeviceAssociation,token,DeviceAssociation.identifier
operator,DeviceAssociation,reference,DeviceAssociation.operation.operator
relationship,DeviceAssociation,token,DeviceAssociation.relationship
status,DeviceAssociation,token,DeviceAssociation.status
subject,DeviceAssociation,reference,DeviceAssociation.subject
conforms-to-category,DeviceDefinition,token,DeviceDefinition.conformsTo.category
device-name,DeviceDefinition,string,DeviceDefinition.deviceName.name 
has-part,DeviceDefinition,reference,DeviceDefinition.hasPart.reference
manufacturer,DeviceDefinition,reference,DeviceDefinition.manufacturer
model-number,DeviceDefinition,token,DeviceDefinition.modelNumber
part-number,DeviceDefinition,string,DeviceDefinition.partNumber
specification,DeviceDefinition,token,DeviceDefinition.conformsTo.specification
type,DeviceDefinition,token,DeviceDefinition.classification.type
specification-version,DeviceDefinition,composite,DeviceDefinition.conformsTo
version-type,DeviceDefinition,composite,DeviceDefinition.deviceVersion
code,DeviceDispense,token,DeviceDispense.device.concept
identifier,DeviceDispense,token,DeviceDispense.identifier
patient,DeviceDispense,reference,DeviceDispense.subject.where
status,DeviceDispense,token,DeviceDispense.status
subject,DeviceDispense,reference,DeviceDispense.subject
category,DeviceMetric,token,DeviceMetric.category
device,DeviceMetric,reference,DeviceMetric.device
identifier,DeviceMetric,token,DeviceMetric.identifier
type,DeviceMetric,token,DeviceMetric.type
authored-on,DeviceRequest,date,DeviceRequest.authoredOn
based-on,DeviceRequest,reference,DeviceRequest.basedOn
device,DeviceRequest,reference,DeviceRequest.code.reference
event-date,DeviceRequest,date,
group-identifier,DeviceRequest,token,DeviceRequest.groupIdentifier
instantiates-canonical,DeviceRequest,reference,DeviceRequest.instantiatesCanonical
instantiates-uri,DeviceRequest,uri,DeviceRequest.instantiatesUri
insurance,DeviceRequest,reference,DeviceRequest.insurance
intent,DeviceRequest,token,DeviceRequest.intent
performer,DeviceRequest,reference,DeviceRequest.performer.reference
performer-code,DeviceRequest,token,DeviceRequest.performer.concept
prior-request,DeviceRequest,reference,DeviceRequest.replaces
requester,DeviceRequest,reference,DeviceRequest.requester
status,DeviceRequest,token,DeviceRequest.status
subject,DeviceRequest,reference,DeviceRequest.subject
device,DeviceUsage,token,DeviceUsage.device.concept
status,DeviceUsage,token,DeviceUsage.status
